utterance,intent
Any special fares or offers aavilable now?,Discounts
When is flight DL607 departing?,Flight Status
What documents are required for medical travel? thank you,Medical Policy
What's the status of flight AI137? thanks,Flight Status
Can I take my guitar on board? please,Sports Music Gear
What is the boarding time before departure? thank you,Flights Info
"Hey, Is there a window seat left for my booking?",Seat Availability
How do I check seat availability?,Seat Availability
Is there any extra charge for sports gear? thanks,Sports Music Gear
Can I bring a vape on board?,Prohibited Items Faq
"Hello, Is there any extra charge for sports gear?",Sports Music Gear
Has flight UA140 landed? thank you,Flight Status
Are Wi-Fi services available on board? please,Flights Info
Is a guitar allowed as carry-on?,Carry On Luggage Faq
WHO HANDLES BAGGAGEGAGE DAMAGE CLAIMS?,Damaged Bag
"Good evening, any special fares or offers available now?",Discounts
Who can I contact to hile a complaint?,Complaints
"Hi, what's the current price for a one-way ticket to los angelesg",Fare Check
Are sharp objects allowed in checked luggage?,Prohibited Items Faq
DO PETS TRAVEL IN CARGO OR CABIN? PLEASE,Pet Travel
Can you call it off my ticket and refund me?,Cancel Trip
Is there a penalty if I cancel my booking?,Cancellation Policy
Check price for flight EK108.,Fare Check
My luggage arrived damaged. What do I do? please,Damaged Bag
How much is the ticket to New York next week?,Fare Check
ARE THERE SEATS AVAILABLE ON BOOKING UA836?,Seat Availability
I can't find my checked-in luggage.,Missing Bag
How do i claim for a damaged bag? thank you,Damaged Bag
What's the policy for carrying sports equipment? kindly,Sports Music Gear
Is assistance available for disabled passengers?,Medical Policy
WHAT IS THE BOARDING TIME BEFORE DEPARTURE?,Flights Info
"Good evening, Do you offer travel insurance?",Insurance
Please cancel my booking for flight SQ894.,Cancel Trip
How many kilograms can i check in?,Check In Luggage Faq
How many carry-on bags are allowed?,Carry On Luggage Faq
Tell me about meals on this flight. please,Flights Info
Is assistance available for disabled passengers?,Medical Policy
"Good morning, Is there a penalty if I cancel my booking?",Cancellation Policy
Who can I contact to file a complaint?,Complaints
Can I bring a violin as carry-on?,Sports Music Gear
I RECEIVED A DAMAGED BAGGAGE AT DXB.,Damaged Bag
What's the cost of travel insurance?,Insurance
Ho do I buy insurance for my ticket?,Insurance
"Hey, Can I carry a power bank in my bag? thank you",Prohibited Items Faq
"Good evening, Can I reserve a seat on the flight?",Seat Availability
How does the cancellation charge work?,Cancellation Policy
"GOOD MORNING, WHAT IS YOUR CANCELLATION POLICY?",Cancellation Policy
"Hey, How do I call off my trip scheduled on 2025-10-31?",Cancel Trip
FILE A MISSING BAGGAGE REPORT FOR FLIGHT AI642.,Missing Bag
Is my trip on time?,Flight Status
I need to rescheduletripight date to 2025-11-02.,Change Flight
What's the current price for a one-way ticket to New York?,Fare Check
"Hey, Who handles baggage damage claims?",Damaged Bag
"Hey, Move my flticketo an earlier time please.",Change Flight
Are Wi-Fi services available on board?,Flights Info
Can I bring my dog on the flight?,Pet Travel
Can I bring a vape on board? kindly,Prohibited Items Faq
What's the cost of travel insurance?,Insurance
How can I apply a coupon to my booking?,Discounts
"Hi, What is the pet travel policy?",Pet Travel
How can I apply a coupon to my booking?,Discounts
Can I take my guitar on board?,Sports Music Gear
What's the cost of travel insurance?,Insurance
"Hello, Can I check two bags?",Check In Luggage Faq
"Good evening, Do pets travel in cargo or cabin?",Pet Travel
"Good evening, where is my suitcase? it didn't come out on carousel.",Missing Bag
Is there a penalty for traveling with a pet?,Pet Travel
"HELLO, IS THERE A DISCOUNT FOR EARLY BOOKINGS? THANK YOU",Discounts
How much is the ticket to London next week? kinddy,Fare Check
Where is my suitcase? It didn't come out on carousel.,Missing Bag
What's the status of flight BA362?,Flight Status
What seats are available in business class?,Seat Availability
Is my flight on time?,Flight Status
My luggage arrived damaged. What do I do?,Damaged Bag
